11:42:09  | Jose9543 | /island
11:42:31  | Jose9543 | /tp Kay
11:42:31  | Jose9543 | /tp Kay
11:43:18  | Jose9543 | /haste
11:43:18  | Jose9543 | /haste
11:43:49  | Kayne6162 | /is
11:43:49  | Kayne6162 | /is
11:44:06  | Jose9543 | /fly
11:44:06  | Jose9543 | /fly
11:44:19  | Jose9543 | /tp 1000 1000 1000
11:44:19  | Jose9543 | /tp 1000 1000 1000
11:44:22  | Kayne6162 | /is
11:44:22  | Kayne6162 | /is
11:44:44  | Jose9543 | /tp 1000000 64 1000000
11:44:44  | Jose9543 | /tp 1000000 64 1000000
11:45:05  | Jose9543 | /tp 100000000 64 100000000
11:45:05  | Jose9543 | /tp 100000000 64 100000000
11:45:28  | Jose9543 | /tp 10000000 64 10000000
11:45:28  | Jose9543 | /tp 10000000 64 10000000
11:45:44  | Jose9543 | /tp 6000000 64 6000000
11:45:44  | Jose9543 | /tp 6000000 64 6000000
11:46:04  | Jose9543 | /tp Kedo Jose
11:46:04  | Jose9543 | /tp Kedo Jose
11:46:39  | Jose9543 | /tp Ai Jose
11:46:39  | Jose9543 | /tp Ai Jose
11:46:59  | Kedoki2579 | /shop
11:46:59  | Kedoki2579 | /shop
11:47:05  | Kedoki2579 | /shop
11:47:05  | Kedoki2579 | /shop
11:47:26  | Kedoki2579 | /is
11:47:26  | Kedoki2579 | /is
11:47:33  | AiLaNhan | /hub
11:47:33  | AiLaNhan | /hub
11:47:36  | Jose9543 | /tp Kedo 100000000 256 100000000
11:47:36  | Jose9543 | /tp Kedo 100000000 256 100000000
11:47:44  | Jose9543 | /tp Kedo
11:47:44  | Jose9543 | /tp Kedo
11:47:48  | Kedoki2579 | /is
11:47:48  | Kedoki2579 | /is
11:49:09  | Kayne6162 | /is
11:49:09  | Kayne6162 | /is
11:49:39  | AiLaNhan | /tp kay
11:49:39  | AiLaNhan | /tp kay
11:49:46  | Jose9543 | /is
11:49:46  | Jose9543 | /is
11:49:54  | Kedoki2579 | /autosell
11:49:54  | Kedoki2579 | /autosell
11:50:06  | Kedoki2579 | /autosell
11:50:06  | Kedoki2579 | /autosell
11:50:13  | Jose9543 | /fly
11:50:13  | Jose9543 | /fly
11:51:14  | Jose9543 | /kick tai
11:51:14  | Jose9543 | /kick tai
11:51:52  | Jose9543 | /time set day
11:51:52  | Jose9543 | /time set day
11:51:57  | Jose9543 | /tp Kay
11:51:57  | Jose9543 | /tp Kay
11:52:01  | Jose9543 | /point
11:52:01  | Jose9543 | /point
11:53:09  | Jose9543 | /point
11:53:09  | Jose9543 | /point
11:53:39  | Kedoki2579 | /sell
11:53:39  | Kedoki2579 | /sell
11:55:10  | Kedoki2579 | /fix
11:55:10  | Kedoki2579 | /fix
11:57:16  | AiLaNhan | /tp kedo 
11:57:16  | AiLaNhan | /tp kedo 
11:57:27  | Jose9543 | /is
11:57:27  | Jose9543 | /is
11:57:56  | Jose9543 | /fly
11:57:56  | Jose9543 | /fly
11:58:03  | Jose9543 | /fly
11:58:03  | Jose9543 | /fly
11:58:34  | Kedoki2579 | /sell
11:58:34  | Kedoki2579 | /sell
11:59:11  | Jose9543 | /minion
11:59:11  | Jose9543 | /minion
11:59:24  | Kedoki2579 | /shop
11:59:24  | Kedoki2579 | /shop
12:01:28  | Kayne6162 | /is
12:01:28  | Kayne6162 | /is
12:02:09  | Jose9543 | /shop
12:02:09  | Jose9543 | /shop
